127.0.0.1 - - [05/Jul/2021:09:45:46 +0900] "GET / HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:22 +0900] "GET / HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:23 +0900] "GET / HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:23 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:27 +0900] "GET /member/login HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:27 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:27 +0900] "GET /resources/vendor/bootstrap/css/login.css HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:33 +0900] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /board/list HTTP/1.1" 200 29456
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /resources/js/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:34 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:36 +0900] "GET /board/register HTTP/1.1" 200 21420
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:36 +0900] "GET /resources/dist/css/attach.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:36 +0900] "GET /resources/js/register.js HTTP/1.1" 200 5910
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:58 +0900] "POST /uploadAjax HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:58 +0900] "GET /resources/img/attach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:47:00 +0900] "POST /board/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:47:00 +0900] "GET /board/list HTTP/1.1" 200 29456
